2021-12-10 22:05:49.730 MSK [INFO    ] prototype_multi process shutting down
2021-12-10 22:05:49.730 MSK [INFO    ] prototype_multi process exiting with exitcode 0
2021-12-10 22:05:49.732 MSK [INFO    ] prototype_multi child process calling self.run()
2021-12-10 22:06:01.394 MSK [INFO    ] prototype_multi process shutting down
2021-12-10 22:06:01.394 MSK [INFO    ] prototype_multi process exiting with exitcode 0
2021-12-10 22:06:01.395 MSK [INFO    ] prototype_multi Round 69 end, Hash rate 1426.062 kH/s
2021-12-10 22:06:01.396 MSK [INFO    ] prototype_multi child process calling self.run()
2021-12-10 22:06:34.476 MSK [INFO    ] prototype_multi process shutting down
2021-12-10 22:06:34.476 MSK [INFO    ] prototype_multi process exiting with exitcode 0
2021-12-10 22:06:34.479 MSK [INFO    ] prototype_multi child process calling self.run()
2021-12-10 22:06:40.077 MSK [INFO    ] prototype_multi process shutting down
2021-12-10 22:06:40.078 MSK [INFO    ] prototype_multi process exiting with exitcode 0
2021-12-10 22:06:40.079 MSK [INFO    ] prototype_multi child process calling self.run()
2021-12-10 22:06:42.085 MSK [INFO    ] prototype_multi process shutting down
2021-12-10 22:06:42.085 MSK [INFO    ] prototype_multi process exiting with exitcode 0
2021-12-10 22:06:42.087 MSK [INFO    ] prototype_multi child process calling self.run()
2021-12-10 22:06:50.444 MSK [INFO    ] prototype_multi process shutting down
2021-12-10 22:06:50.445 MSK [INFO    ] prototype_multi process exiting with exitcode 0
2021-12-10 22:06:50.445 MSK [INFO    ] prototype_multi Success "Начальное значение![JBYW" hash: 00000000331cb4111b0fb7fff9a9014aa45376e25b59516ff57e0789f86d98ce Hash rate 1933.423 kH/s
2021-12-10 22:06:50.446 MSK [INFO    ] prototype_multi process shutting down
